Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Chess,40,0.7,recursive,1,1520,1,2,3,344.00,356.29,16.00,280.00,48.00,40
Chess,40,0.7,recursive,2,1666,1,2,3,344.00,356.29,16.00,280.00,48.00,40
Chess,40,0.7,recursive,3,2066,1,2,3,344.00,356.29,16.00,280.00,48.00,40
Chess,40,0.7,recursive,4,1880,1,2,3,344.00,356.29,16.00,280.00,48.00,40
Chess,40,0.7,recursive,5,1695,1,2,3,344.00,356.29,16.00,280.00,48.00,40
Chess,40,0.7,parallel,1,1318,1,2,3,356.00,368.30,24.00,284.00,48.00,40
Chess,40,0.7,parallel,2,1326,1,2,3,356.00,368.30,24.00,284.00,48.00,40
Chess,40,0.7,parallel,3,1335,1,2,3,352.00,364.30,20.00,288.00,44.00,40
Chess,40,0.7,parallel,4,1245,1,2,3,352.00,364.30,24.00,280.00,48.00,40
Chess,40,0.7,parallel,5,1263,1,2,3,356.00,368.30,24.00,284.00,48.00,40
Chess,40,0.7,fft,1,20584,1,2,3,4959.84,4972.14,560.27,4208.87,4717.30,40
Chess,40,0.7,fft,2,21067,1,2,3,4963.84,4976.13,580.22,4212.92,4713.30,40
Chess,40,0.7,fft,3,21727,1,2,3,4960.00,4972.29,560.25,4218.03,4718.28,40
Chess,40,0.7,fft,4,21174,1,2,3,4960.96,4973.25,568.19,4208.95,4716.18,40
Chess,40,0.7,fft,5,21558,1,2,3,4960.00,4972.29,576.18,4213.53,4717.71,40
Chess,40,0.7,parallelfft,1,16516,1,2,3,4960.00,4972.30,1280.26,619.53,151.27,40
Chess,40,0.7,parallelfft,2,16336,1,2,3,4955.71,4968.02,1272.39,608.39,143.71,40
Chess,40,0.7,parallelfft,3,15799,1,2,3,4955.72,4968.03,1272.36,608.68,152.04,40
Chess,40,0.7,parallelfft,4,15853,1,2,3,4954.79,4967.09,1276.28,609.34,147.85,40
Chess,40,0.7,parallelfft,5,17380,1,2,3,4956.00,4968.30,1276.29,608.62,148.33,40
Chess,50,0.7,direct,1,3874,1,2,3,140.00,152.29,0.00,88.00,52.00,50
Chess,50,0.7,direct,2,3985,1,2,3,140.00,152.29,0.00,88.00,52.00,50
Chess,50,0.7,direct,3,3969,1,2,3,140.00,152.29,0.00,88.00,52.00,50
Chess,50,0.7,direct,4,3992,1,2,3,140.00,152.29,0.00,88.00,52.00,50
Chess,50,0.7,direct,5,3966,1,2,3,140.00,152.29,0.00,88.00,52.00,50
Chess,50,0.7,recursive,1,2463,1,2,3,465.59,477.88,16.00,344.00,146.41,50
Chess,50,0.7,recursive,2,2367,1,2,3,465.57,477.87,16.00,344.00,146.43,50
Chess,50,0.7,recursive,3,2372,1,2,3,465.32,477.61,16.00,344.00,146.68,50
Chess,50,0.7,recursive,4,2341,1,2,3,465.24,477.54,16.00,344.00,146.76,50
Chess,50,0.7,recursive,5,2365,1,2,3,465.17,477.46,16.00,344.00,146.83,50
Chess,50,0.7,parallel,1,1918,1,2,3,464.47,476.77,20.00,348.00,147.53,50
Chess,50,0.7,parallel,2,1922,1,2,3,463.58,475.89,20.00,348.00,140.42,50
Chess,50,0.7,parallel,3,1996,1,2,3,464.15,476.45,24.00,344.00,139.85,50
Chess,50,0.7,parallel,4,1881,1,2,3,463.98,476.28,24.00,344.00,144.02,50
Chess,50,0.7,parallel,5,1928,1,2,3,464.22,476.52,20.00,348.00,143.78,50
Chess,50,0.7,fft,1,35101,1,2,3,4990.00,5002.29,560.20,146.67,2531.13,50
Chess,50,0.7,fft,2,36496,1,2,3,4989.68,5001.97,548.33,139.50,2529.85,50
Chess,50,0.7,fft,3,35393,1,2,3,4989.67,5001.97,572.33,146.54,2526.81,50
Chess,50,0.7,fft,4,36312,1,2,3,4990.00,5002.29,568.32,151.50,2526.17,50
Chess,50,0.7,fft,5,35771,1,2,3,4992.00,5004.29,564.21,143.79,2532.00,50
Chess,50,0.7,parallelfft,1,26822,1,2,3,4986.00,4998.30,1272.32,191.68,2558.00,50
Chess,50,0.7,parallelfft,2,26390,1,2,3,4985.65,4997.96,1272.28,191.72,2549.65,50
Chess,50,0.7,parallelfft,3,28659,1,2,3,4984.00,4996.30,1264.46,199.54,2552.00,50
Chess,50,0.7,parallelfft,4,26686,1,2,3,4985.65,4997.96,1272.34,203.38,2545.93,50
Chess,50,0.7,parallelfft,5,27003,1,2,3,4986.00,4998.30,1268.39,186.39,2559.21,50
