Dataset,K,Tau,SupportType,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Mushrooms,50,0.7,recursive,4,3253,1,2,3,462.35,481.64,28.00,316.00,117.65,50
Mushrooms,50,0.7,recursive,5,3318,1,2,3,462.31,481.59,28.00,316.00,117.69,50
Mushrooms,50,0.7,parallel,1,2635,1,2,3,461.27,480.57,36.00,320.00,114.73,50
Mushrooms,50,0.7,parallel,2,2559,1,2,3,461.87,481.16,36.00,316.00,114.13,50
Mushrooms,50,0.7,parallel,3,2549,1,2,3,461.27,480.56,36.00,312.00,106.73,50
Mushrooms,50,0.7,parallel,4,2618,1,2,3,461.29,480.58,36.00,316.00,114.71,50
Mushrooms,50,0.7,parallel,5,2651,1,2,3,461.32,480.62,36.00,320.00,114.68,50
Mushrooms,50,0.7,fft,1,37998,1,2,3,4992.00,5011.28,2672.50,2118.90,4155.40,50
Mushrooms,50,0.7,fft,2,36592,1,2,3,4993.71,5012.99,2672.60,2114.80,4165.69,50
Mushrooms,50,0.7,fft,3,37457,1,2,3,4994.00,5013.28,2680.45,2114.95,4161.41,50
Mushrooms,50,0.7,fft,4,37685,1,2,3,4995.42,5014.70,2676.46,2114.27,4155.30,50
Mushrooms,50,0.7,fft,5,37200,1,2,3,4992.00,5011.28,2680.47,2118.25,4162.72,50
Mushrooms,50,0.7,parallelfft,1,27937,1,2,3,4991.68,5010.98,3336.68,2705.33,736.34,50
Mushrooms,50,0.7,parallelfft,2,29271,1,2,3,4991.68,5010.98,3336.65,2704.65,727.68,50
Mushrooms,50,0.7,parallelfft,3,27771,1,2,3,4990.00,5009.29,3332.30,2692.30,730.00,50
Mushrooms,50,0.7,parallelfft,4,28292,1,2,3,4989.68,5008.98,3336.63,2706.12,731.18,50
Mushrooms,50,0.7,parallelfft,5,28088,1,2,3,4991.69,5010.98,3344.91,2708.08,722.85,50
