Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Kosarak,25,0.7,onlyPhase1,4,456996,1,2,3,1162.00,2107.91,890.00,365.31,248.00,25
Kosarak,25,0.7,onlyPhase1,5,455657,1,2,3,1182.00,2126.94,894.00,376.62,252.00,25
Kosarak,25,0.7,onlyClosure,1,457150,1,2,3,1446.00,2390.25,543.55,532.45,586.00,25
Kosarak,25,0.7,onlyClosure,2,458429,1,2,3,1286.00,2231.44,591.38,554.62,472.00,25
Kosarak,25,0.7,onlyClosure,3,463666,1,2,3,1080.00,2024.75,549.62,101.61,256.00,25
Kosarak,25,0.7,onlyClosure,4,460116,1,2,3,1354.00,2296.51,561.76,536.24,256.00,25
Kosarak,25,0.7,onlyClosure,5,460671,1,2,3,1052.00,1996.62,609.76,134.24,256.00,25
Kosarak,25,0.7,onlySupport,1,365119,1,2,3,1762.00,2705.82,549.53,896.00,252.00,25
Kosarak,25,0.7,onlySupport,2,355116,1,2,3,1048.00,1991.07,661.09,18.13,252.00,25
Kosarak,25,0.7,onlySupport,3,359091,1,2,3,1867.78,2812.38,662.99,888.00,256.00,25
Kosarak,25,0.7,onlySupport,4,355155,1,2,3,1288.00,2230.42,590.84,445.16,252.00,25
Kosarak,25,0.7,onlySupport,5,355837,1,2,3,1347.77,2291.79,643.11,452.66,252.00,25
