Dataset,K,Tau,ParallelMode,RunNumber,ExecutionTime_ms,Phase1_ms,Phase2_ms,Phase3_ms,Memory_MB,Peak_Memory_MB,Phase1_Memory_MB,Phase2_Memory_MB,Phase3_Memory_MB,Patterns_Found
Pumsb,25,0.7,default,4,262548,1,2,3,843.56,1186.87,244.00,563.56,0.00,25
Pumsb,25,0.7,default,5,260682,1,2,3,834.00,1177.38,244.00,536.00,0.00,25
Pumsb,25,0.7,onlyPhase1,1,247257,1,2,3,839.10,1182.56,248.00,551.10,0.00,25
Pumsb,25,0.7,onlyPhase1,2,266527,1,2,3,1237.27,1580.51,250.50,554.77,0.00,25
Pumsb,25,0.7,onlyPhase1,3,242403,1,2,3,875.49,1218.62,248.00,443.49,0.00,25
Pumsb,25,0.7,onlyPhase1,4,242058,1,2,3,845.25,1188.44,255.03,585.99,0.00,25
Pumsb,25,0.7,onlyPhase1,5,257977,1,2,3,1001.85,1345.02,248.00,435.76,0.00,25
Pumsb,25,0.7,onlyClosure,1,251474,1,2,3,846.18,1189.30,244.00,511.51,0.00,25
Pumsb,25,0.7,onlyClosure,2,252883,1,2,3,838.00,1181.11,244.00,563.29,0.00,25
Pumsb,25,0.7,onlyClosure,3,251092,1,2,3,840.83,1184.14,242.52,530.31,0.00,25
Pumsb,25,0.7,onlyClosure,4,250364,1,2,3,872.00,1215.47,244.00,500.00,0.00,25
Pumsb,25,0.7,onlyClosure,5,251180,1,2,3,855.08,1198.48,244.00,494.49,0.00,25
Pumsb,25,0.7,onlySupport,1,197620,1,2,3,1646.50,1989.80,260.00,1365.12,0.00,25
Pumsb,25,0.7,onlySupport,2,201725,1,2,3,869.09,1212.51,260.00,445.09,0.00,25
Pumsb,25,0.7,onlySupport,3,234522,1,2,3,886.16,1229.29,264.00,259.07,0.00,25
Pumsb,25,0.7,onlySupport,4,204725,1,2,3,876.00,1219.31,256.00,496.00,0.00,25
Pumsb,25,0.7,onlySupport,5,203815,1,2,3,1640.00,1983.19,261.27,1352.06,0.00,25
